try_num,change_probability,success_this_time,cumulative,master_energy
100,0.01,0.0038,0.62373,0.44758
101,0.01,0.00376,0.62749,0.45223
102,0.01,0.00373,0.63122,0.45688
103,0.01,0.00369,0.63491,0.46153
104,0.01,0.00365,0.63856,0.46618
105,0.01,0.00361,0.64217,0.47083
106,0.01,0.00358,0.64575,0.47548
107,0.01,0.00354,0.64929,0.48013
108,0.01,0.00351,0.6528,0.48478
109,0.01,0.00347,0.65627,0.48943
110,0.01,0.00344,0.65971,0.49408
111,0.01,0.0034,0.66311,0.49873
112,0.01,0.00337,0.66648,0.50338
113,0.01,0.00334,0.66982,0.50803
114,0.01,0.0033,0.67312,0.51268
115,0.01,0.00327,0.67639,0.51733
116,0.01,0.00324,0.67963,0.52198
117,0.01,0.0032,0.68283,0.52663
118,0.01,0.00317,0.686,0.53128
119,0.01,0.00314,0.68914,0.53593
120,0.01,0.00311,0.69225,0.54058
121,0.01,0.00308,0.69533,0.54523
122,0.01,0.00305,0.69838,0.54988
123,0.01,0.00302,0.7014,0.55453
124,0.01,0.00299,0.70439,0.55918
125,0.01,0.00296,0.70735,0.56383
126,0.01,0.00293,0.71028,0.56848
127,0.01,0.0029,0.71318,0.57313
128,0.01,0.00287,0.71605,0.57778
129,0.01,0.00284,0.71889,0.58243
130,0.01,0.00281,0.7217,0.58708
131,0.01,0.00278,0.72448,0.59173
132,0.01,0.00276,0.72724,0.59638
133,0.01,0.00273,0.72997,0.60103
134,0.01,0.0027,0.73267,0.60568
135,0.01,0.00267,0.73534,0.61033
136,0.01,0.00265,0.73799,0.61498
137,0.01,0.00262,0.74061,0.61963
138,0.01,0.00259,0.7432,0.62428
139,0.01,0.00257,0.74577,0.62893
140,0.01,0.00254,0.74831,0.63358
141,0.01,0.00252,0.75083,0.63823
142,0.01,0.00249,0.75332,0.64288
143,0.01,0.00247,0.75579,0.64753
144,0.01,0.00244,0.75823,0.65218
145,0.01,0.00242,0.76065,0.65683
146,0.01,0.00239,0.76304,0.66148
147,0.01,0.00237,0.76541,0.66613
148,0.01,0.00235,0.76776,0.67078
149,0.01,0.00232,0.77008,0.67543
150,0.01,0.0023,0.77238,0.68008
151,0.01,0.00228,0.77466,0.68473
152,0.01,0.00225,0.77691,0.68938
153,0.01,0.00223,0.77914,0.69403
154,0.01,0.00221,0.78135,0.69868
155,0.01,0.00219,0.78354,0.70333
156,0.01,0.00216,0.7857,0.70798
157,0.01,0.00214,0.78784,0.71263
158,0.01,0.00212,0.78996,0.71728
159,0.01,0.0021,0.79206,0.72193
160,0.01,0.00208,0.79414,0.72658
161,0.01,0.00206,0.7962,0.73123
162,0.01,0.00204,0.79824,0.73588
163,0.01,0.00202,0.80026,0.74053
164,0.01,0.002,0.80226,0.74518
165,0.01,0.00198,0.80424,0.74983
166,0.01,0.00196,0.8062,0.75448
167,0.01,0.00194,0.80814,0.75913
168,0.01,0.00192,0.81006,0.76378
169,0.01,0.0019,0.81196,0.76843
170,0.01,0.00188,0.81384,0.77308
171,0.01,0.00186,0.8157,0.77773
172,0.01,0.00184,0.81754,0.78238
173,0.01,0.00182,0.81936,0.78703
174,0.01,0.00181,0.82117,0.79168
175,0.01,0.00179,0.82296,0.79633
176,0.01,0.00177,0.82473,0.80098
177,0.01,0.00175,0.82648,0.80563
178,0.01,0.00174,0.82822,0.81028
179,0.01,0.00172,0.82994,0.81493
180,0.01,0.0017,0.83164,0.81958
181,0.01,0.00168,0.83332,0.82423
182,0.01,0.00167,0.83499,0.82888
183,0.01,0.00165,0.83664,0.83353
184,0.01,0.00163,0.83827,0.83818
185,0.01,0.00162,0.83989,0.84283
186,0.01,0.0016,0.84149,0.84748
187,0.01,0.00159,0.84308,0.85213
188,0.01,0.00157,0.84465,0.85678
189,0.01,0.00155,0.8462,0.86143
190,0.01,0.00154,0.84774,0.86608
191,0.01,0.00152,0.84926,0.87073
192,0.01,0.00151,0.85077,0.87538
193,0.01,0.00149,0.85226,0.88003
194,0.01,0.00148,0.85374,0.88468
195,0.01,0.00146,0.8552,0.88933
196,0.01,0.00145,0.85665,0.89398
197,0.01,0.00143,0.85808,0.89863
198,0.01,0.00142,0.8595,0.90328
199,0.01,0.00141,0.86091,0.90793
200,0.01,0.00139,0.8623,0.91258
201,0.01,0.00138,0.86368,0.91723
202,0.01,0.00136,0.86504,0.92188
203,0.01,0.00135,0.86639,0.92653
204,0.01,0.00134,0.86773,0.93118
205,0.01,0.00132,0.86905,0.93583
206,0.01,0.00131,0.87036,0.94048
207,0.01,0.0013,0.87166,0.94513
208,0.01,0.00128,0.87294,0.94978
209,0.01,0.00127,0.87421,0.95443
210,0.01,0.00126,0.87547,0.95908
211,0.01,0.00125,0.87672,0.96373
212,0.01,0.00123,0.87795,0.96838
213,0.01,0.00122,0.87917,0.97303
214,0.01,0.00121,0.88038,0.97768
215,0.01,0.0012,0.88158,0.98233
216,0.01,0.00118,0.88276,0.98698
217,0.01,0.00117,0.88393,0.99163
218,0.01,0.00116,0.88509,0.99628
219,1.0,0.11492,1.0,1.0
